episode,asset,method,mapping,target_far,k,tau,control_far,first_alarm,lead_days,event_alarm_rate,n_event_windows,n_control_windows
COVID,USOIL,standalone_fanogan,cosine,0.2,1,0.104798,0.1953,2020-04-21,-42.0,0.226,146,128
COVID,USOIL,standalone_fanogan,cosine,0.2,2,0.097849,0.1953,2020-04-22,-43.0,0.2055,146,128
COVID,USOIL,standalone_fanogan,cosine,0.2,3,0.093543,0.1953,2020-03-12,-15.0,0.2123,146,128
COVID,USOIL,standalone_fanogan,exponential,0.05,1,0.463625,0.0469,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.05,2,0.434351,0.0469,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.05,3,0.414764,0.0469,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.1,1,0.399093,0.0938,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.1,2,0.37545,0.0938,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.1,3,0.36225,0.0938,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.2,1,0.31169,0.1953,,,0.0,146,128
COVID,USOIL,standalone_fanogan,exponential,0.2,2,0.247754,0.1953,2020-07-14,-100.0,0.0068,146,128
COVID,USOIL,standalone_fanogan,exponential,0.2,3,0.24314,0.1953,,,0.0,146,128
COVID,USOIL,standalone_tadgan,-,0.05,1,1.390899,0.0469,2019-12-02,54.0,0.1164,146,128
COVID,USOIL,standalone_tadgan,-,0.05,2,1.388023,0.0469,2019-12-03,53.0,0.1096,146,128
COVID,USOIL,standalone_tadgan,-,0.05,3,1.386128,0.0469,2019-12-04,52.0,0.1096,146,128
COVID,USOIL,standalone_tadgan,-,0.1,1,1.38485,0.0938,2019-12-02,54.0,0.1233,146,128
COVID,USOIL,standalone_tadgan,-,0.1,2,1.381677,0.0938,2019-12-03,53.0,0.1164,146,128
COVID,USOIL,standalone_tadgan,-,0.1,3,1.379265,0.0781,2019-12-04,52.0,0.1096,146,128
COVID,USOIL,standalone_tadgan,-,0.2,1,1.369297,0.1953,2019-12-02,54.0,0.1233,146,128
COVID,USOIL,standalone_tadgan,-,0.2,2,1.36468,0.1953,2019-12-03,53.0,0.1233,146,128
COVID,USOIL,standalone_tadgan,-,0.2,3,1.363978,0.1875,2019-12-04,52.0,0.1164,146,128
COVID,USOIL,tranad,exponential,0.05,1,0.037226,0.0469,2020-01-16,23.0,0.9178,146,128
COVID,USOIL,tranad,exponential,0.05,2,0.033495,0.0469,2020-01-17,22.0,0.9315,146,128
COVID,USOIL,tranad,exponential,0.05,3,0.031916,0.0391,2020-01-21,21.0,0.9247,146,128
COVID,USOIL,tranad,exponential,0.1,1,0.034401,0.0938,2020-01-16,23.0,0.9452,146,128
COVID,USOIL,tranad,exponential,0.1,2,0.029258,0.0938,2020-01-17,22.0,0.9384,146,128
COVID,USOIL,tranad,exponential,0.1,3,0.028865,0.0938,2020-01-21,21.0,0.9247,146,128
COVID,USOIL,tranad,exponential,0.2,1,0.029258,0.1953,2020-01-16,23.0,0.9521,146,128
COVID,USOIL,tranad,exponential,0.2,2,0.027267,0.1953,2020-01-17,22.0,0.9452,146,128
COVID,USOIL,tranad,exponential,0.2,3,0.025067,0.1875,2020-01-21,21.0,0.9384,146,128
COVID,USOIL,usad,exponential,0.05,1,1.74536,0.0469,,,0.0,146,128
COVID,USOIL,usad,exponential,0.05,2,1.716266,0.0469,,,0.0,146,128
COVID,USOIL,usad,exponential,0.05,3,1.68448,0.0469,,,0.0,146,128
COVID,USOIL,usad,exponential,0.1,1,1.682257,0.0938,2020-03-06,-11.0,0.0068,146,128
COVID,USOIL,usad,exponential,0.1,2,1.59246,0.0938,,,0.0,146,128
COVID,USOIL,usad,exponential,0.1,3,1.587438,0.0938,,,0.0,146,128
COVID,USOIL,usad,exponential,0.2,1,1.558506,0.1953,2020-01-23,19.0,0.0685,146,128
COVID,USOIL,usad,exponential,0.2,2,1.537999,0.1953,2020-01-24,18.0,0.0616,146,128
COVID,USOIL,usad,exponential,0.2,3,1.507359,0.1953,2020-01-27,17.0,0.0685,146,128
COVID,USOIL,vae,exponential,0.05,1,0.647496,0.0469,2020-04-14,-37.0,0.0479,146,128
COVID,USOIL,vae,exponential,0.05,2,0.63815,0.0391,2020-05-08,-55.0,0.0411,146,128
COVID,USOIL,vae,exponential,0.05,3,0.623684,0.0469,2020-05-11,-56.0,0.0342,146,128
COVID,USOIL,vae,exponential,0.1,1,0.623684,0.0938,2020-04-14,-37.0,0.0548,146,128
COVID,USOIL,vae,exponential,0.1,2,0.584916,0.0938,2020-05-07,-54.0,0.0479,146,128
COVID,USOIL,vae,exponential,0.1,3,0.584655,0.0938,2020-05-08,-55.0,0.0411,146,128
COVID,USOIL,vae,exponential,0.2,1,0.474978,0.1953,2020-01-21,21.0,0.1233,146,128
COVID,USOIL,vae,exponential,0.2,2,0.45053,0.1875,2020-04-14,-37.0,0.1164,146,128
COVID,USOIL,vae,exponential,0.2,3,0.397018,0.1953,2020-04-13,-36.0,0.1438,146,128
COVID,GOLD,anomaly_transformer,exponential,0.05,1,0.007731,0.0469,2020-02-24,-2.0,0.0822,146,128
COVID,GOLD,anomaly_transformer,exponential,0.05,2,0.002149,0.0469,2020-02-21,-1.0,0.1575,146,128
COVID,GOLD,anomaly_transformer,exponential,0.05,3,0.001617,0.0469,2020-02-21,-1.0,0.1575,146,128
COVID,GOLD,anomaly_transformer,exponential,0.1,1,0.001617,0.0938,2020-02-19,1.0,0.1986,146,128
COVID,GOLD,anomaly_transformer,exponential,0.1,2,0.001219,0.0938,2020-02-20,0.0,0.1918,146,128
COVID,GOLD,anomaly_transformer,exponential,0.1,3,0.001093,0.0938,2020-02-21,-1.0,0.1986,146,128
COVID,GOLD,anomaly_transformer,exponential,0.2,1,0.001093,0.1953,2020-02-19,1.0,0.2466,146,128
COVID,GOLD,anomaly_transformer,exponential,0.2,2,0.000944,0.1953,2020-02-20,0.0,0.226,146,128
COVID,GOLD,anomaly_transformer,exponential,0.2,3,0.000899,0.1953,2020-02-21,-1.0,0.1986,146,128
COVID,GOLD,dagmm,exponential,0.05,1,6.789807,0.0469,,,0.0,146,128
COVID,GOLD,dagmm,exponential,0.05,2,1.192929,0.0391,,,0.0,146,128
COVID,GOLD,dagmm,exponential,0.05,3,-1.180599,0.0391,2020-02-25,-3.0,0.0137,146,128
