brier,reliability,resolution,uncertainty,base_rate,n,episode,asset,method,mapping,kind
0.14695999999999998,0.04606358974358975,0.14934358974358977,0.2496,0.52,125,Russia-Ukraine,USOIL,anomaly_transformer,exponential,model
0.390928,0.17577353846153843,0.034061538461538456,0.2496,0.52,125,Russia-Ukraine,USOIL,anomaly_transformer,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,anomaly_transformer,exponential,constant
0.26126399999999994,0.0709657435897436,0.057189743589743595,0.2496,0.52,125,Russia-Ukraine,GOLD,anomaly_transformer,exponential,model
0.33000000000000007,0.10615302564102566,0.025241025641025636,0.2496,0.52,125,Russia-Ukraine,GOLD,anomaly_transformer,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,anomaly_transformer,exponential,constant
0.32563609467455623,0.09202662721893487,0.015621301775147927,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,anomaly_transformer,exponential,model
0.33557692307692305,0.10090236686390529,0.016804733727810654,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,anomaly_transformer,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,anomaly_transformer,exponential,constant
0.162832,0.021609435897435893,0.1054974358974359,0.2496,0.52,125,Russia-Ukraine,USOIL,autoencoder,exponential,model
0.31041599999999997,0.0777788717948718,0.019394871794871798,0.2496,0.52,125,Russia-Ukraine,USOIL,autoencoder,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,autoencoder,exponential,constant
0.37953600000000004,0.1655868717948718,0.035394871794871795,0.2496,0.52,125,Russia-Ukraine,GOLD,autoencoder,exponential,model
0.3748,0.15533702564102564,0.02924102564102564,0.2496,0.52,125,Russia-Ukraine,GOLD,autoencoder,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,autoencoder,exponential,constant
0.3839792899408284,0.1966420118343195,0.06177514792899407,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,autoencoder,exponential,model
0.36563609467455616,0.13960059171597627,0.026272189349112424,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,autoencoder,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,autoencoder,exponential,constant
0.22632000000000002,0.04439466666666667,0.06626666666666668,0.2496,0.52,125,Russia-Ukraine,USOIL,cnn_autoencoder,exponential,model
0.31771200000000005,0.07987076923076922,0.006830769230769231,0.2496,0.52,125,Russia-Ukraine,USOIL,cnn_autoencoder,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,cnn_autoencoder,exponential,constant
0.41499199999999997,0.23030235897435897,0.06657435897435897,0.2496,0.52,125,Russia-Ukraine,GOLD,cnn_autoencoder,exponential,model
0.282896,0.05207630769230768,0.01929230769230769,0.2496,0.52,125,Russia-Ukraine,GOLD,cnn_autoencoder,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,cnn_autoencoder,exponential,constant
0.4167603550295858,0.20007396449704137,0.029822485207100596,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,cnn_autoencoder,exponential,model
0.3616124260355029,0.12622781065088756,0.014437869822485211,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,cnn_autoencoder,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,cnn_autoencoder,exponential,constant
