pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,US Treasury yield 1 year,ensemble,0.635,0.7,0.1728395061728395,0.2772277227722773,0.7355534806515199,14.0,6.0,113.0,67.0,200,81,119,1.265178998871598,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US1Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
CNN autoencoder,US5Y,US Treasury yield 5 year,arccosh,0.74,0.0,0.0,0.0,0.3818866943866943,,,,,200,52,148,0.0255832150578498,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US5Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US5Y,US Treasury yield 5 year,exponential,0.67,0.0,0.0,0.0,0.3154885654885655,,,,,200,52,148,0.0886332020163536,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US5Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US5Y,US Treasury yield 5 year,cosine,0.705,0.0,0.0,0.0,0.2980769230769231,,,,,200,52,148,0.0582261011004447,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US5Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US5Y,US Treasury yield 5 year,arctan,0.705,0.0,0.0,0.0,0.2765072765072764,,,,,200,52,148,0.0119634186848998,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US5Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US5Y,US Treasury yield 5 year,arccosh,0.71,0.0,0.0,0.0,0.3287422037422037,,,,,200,52,148,0.1147752866148948,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US5Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US5Y,US Treasury yield 5 year,cosine,0.7,0.0,0.0,0.0,0.3078222453222453,,,,,200,52,148,0.2038768291473388,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US5Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US5Y,US Treasury yield 5 year,arctan,0.67,0.0,0.0,0.0,0.2957380457380457,,,,,200,52,148,0.0361164472997188,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US5Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US5Y,US Treasury yield 5 year,exponential,0.575,0.0,0.0,0.0,0.2761174636174636,,,,,200,52,148,0.2749662339687346,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US5Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,US Treasury yield 5 year,cosine,0.725,0.7857142857142857,0.1746031746031746,0.2857142857142857,0.8527401228131155,11.0,3.0,134.0,52.0,200,63,137,0.1420490153133869,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US5Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
