event,asset,method,n,prevalence,auc,average_precision,quantile,threshold_from,threshold,accuracy,precision,recall,f1,false_alarm_rate,alarm_rate
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.9,control,0.396864,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.9,test,0.193561,0.39726,0.0,0.0,0.0,0.205479,0.10274
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.95,control,0.450548,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.95,test,0.213711,0.445205,0.0,0.0,0.0,0.109589,0.054795
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.975,control,0.502587,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.975,test,0.222328,0.472603,0.0,0.0,0.0,0.054795,0.027397
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.99,control,0.547829,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.99,test,0.247866,0.486301,0.0,0.0,0.0,0.027397,0.013699
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.7,control,0.52012,0.787671,0.9375,0.616438,0.743802,0.041096,0.328767
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.7,test,0.533031,0.787671,0.977273,0.589041,0.735043,0.013699,0.30137
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.75,control,0.557468,0.739726,0.972973,0.493151,0.654545,0.013699,0.253425
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.75,test,0.557442,0.739726,0.972973,0.493151,0.654545,0.013699,0.253425
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.8,control,0.588285,0.636986,1.0,0.273973,0.430108,0.0,0.136986
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.8,test,0.566151,0.69863,1.0,0.39726,0.568627,0.0,0.19863
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.85,control,0.614023,0.582192,1.0,0.164384,0.282353,0.0,0.082192
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.85,test,0.580131,0.650685,1.0,0.30137,0.463158,0.0,0.150685
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.9,control,0.628348,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.9,test,0.607691,0.60274,1.0,0.205479,0.340909,0.0,0.10274
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.95,control,0.646241,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.95,test,0.620067,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.975,control,0.651514,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.975,test,0.627057,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.99,control,0.657022,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,isolation_forest,146,0.5,0.88647,0.908053,0.99,test,0.629777,0.513699,1.0,0.027397,0.053333,0.0,0.013699
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.7,control,0.235921,0.547945,0.530435,0.835616,0.648936,0.739726,0.787671
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.7,test,0.342976,0.760274,0.931818,0.561644,0.700855,0.041096,0.30137
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.75,control,0.258285,0.636986,0.616279,0.726027,0.666667,0.452055,0.589041
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.75,test,0.380834,0.726027,0.945946,0.479452,0.636364,0.027397,0.253425
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.8,control,0.306528,0.739726,0.843137,0.589041,0.693548,0.109589,0.349315
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.8,test,0.402118,0.684932,0.965517,0.383562,0.54902,0.013699,0.19863
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.85,control,0.332095,0.767123,0.933333,0.575342,0.711864,0.041096,0.308219
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.85,test,0.420494,0.636986,0.954545,0.287671,0.442105,0.013699,0.150685
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.9,control,0.35639,0.746575,0.928571,0.534247,0.678261,0.041096,0.287671
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.9,test,0.43887,0.589041,0.933333,0.191781,0.318182,0.013699,0.10274
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.95,control,0.385567,0.726027,0.971429,0.465753,0.62963,0.013699,0.239726
